District Code,District,School,School Code,School Type,Title I Status,Level,Latitude,Longitude
95,Carlisle County,Carlisle County Middle School,95020,A1,Title 1 Eligible - Schoolwide School,MS,36.832394,-88.932718
95,Carlisle County,Carlisle County High School,95040,A1,Not a Title 1 School,HS,36.833237,-88.932034
95,Carlisle County,Carlisle County Elementary School,95060,A1,Title 1 Eligible - Schoolwide School,ES,36.832747,-88.933441
101,Carroll County,Cartmell Elementary,101005,A1,Title 1 Eligible - Schoolwide School,ES,38.68427816,-85.15782057
101,Carroll County,Kathryn Winn Primary,101010,A1,Title 1 Eligible - Schoolwide School,ES,38.67437815,-85.17164757
101,Carroll County,Carroll County High School,101018,A1,Title 1 Eligible - No Program,HS,38.68300525,-85.15725609
101,Carroll County,Carroll County Middle School,101019,A1,Title 1 Eligible - Schoolwide School,MS,38.67799762,-85.18016236
105,Carter County,Carter Virtual Academy,105040,A5,Not a Title 1 School,HS,38.311484,-83.150184
105,Carter County,Carter Elementary School,105050,,,ES,,
105,Carter County,Heritage Elementary School,105052,A1,Title 1 Eligible - Schoolwide School,ES,38.264792,-82.914721
105,Carter County,Tygart Creek Elementary School,105053,A1,Title 1 Eligible - Schoolwide School,ES,38.29470431,-83.25630804
105,Carter County,Carter City Elementary School,105060,A1,Title 1 Eligible - Schoolwide School,ES,38.42834455,-83.11772775
105,Carter County,East Carter County High School,105120,A1,Title 1 Eligible - Schoolwide School,HS,38.324595,-82.933298
105,Carter County,East Carter Middle School,105130,A1,Title 1 Eligible - Schoolwide School,MS,38.33634,-82.938554
105,Carter County,Olive Hill Elementary School,105250,A1,Title 1 Eligible - Schoolwide School,ES,38.304128,-83.157547
105,Carter County,Prichard Elementary School,105340,A1,Title 1 Eligible - Schoolwide School,ES,38.331125,-82.943829
105,Carter County,Star Elementary School,105450,A1,Title 1 Eligible - Schoolwide School,ES,38.353151,-82.791662
105,Carter County,Upper Tygart Elementary School,105490,,,ES,,
105,Carter County,West Carter County High School,105500,A1,Title 1 Eligible - Schoolwide School,HS,38.311416,-83.150887
105,Carter County,West Carter Middle School,105505,A1,Title 1 Eligible - Schoolwide School,MS,38.310553,-83.148456
105,Carter County,Carter County Career and Technical Center,105905,A2,Not a Title 1 School,HS,38.318789,-83.118221
111,Casey County,Walnut Hill Elementary School,111015,A1,Title 1 Eligible - Schoolwide School,ES,37.281741,-84.95977
111,Casey County,Jones Park Elementary,111026,A1,Title 1 Eligible - Schoolwide School,ES,37.34957,-84.840597
111,Casey County,Casey County High School,111045,A1,Title 1 Eligible - Schoolwide School,HS,37.326751,-84.905032
111,Casey County,Casey County Middle School,111070,A1,Title 1 Eligible - Schoolwide School,MS,37.32509,-84.907035
111,Casey County,Liberty Elementary School,111190,A1,Title 1 Eligible - Schoolwide School,ES,37.316765,-84.9346
113,Caverna Independent,Caverna Elementary School,113025,A1,Title 1 Eligible - Schoolwide School,ES,37.138451,-85.966006
113,Caverna Independent,Caverna Middle School,113026,A1,Title 1 Eligible - Schoolwide School,MS,37.152271,-85.932446
113,Caverna Independent,Caverna High School,113030,A1,Title 1 Eligible - No Program,HS,37.152614,-85.931931
115,Christian County,Christian County Public Schools VLA,115012,A5,Not a Title 1 School,HS,36.877638,-87.488264
115,Christian County,Martin Luther King Jr. Elementary School,115017,A1,Title 1 Eligible - Schoolwide School,ES,36.842702,-87.433068
115,Christian County,Belmont Elementary School,115020,,,ES,,
115,Christian County,Cumberland Hall School,115023,A6,Not a Title 1 School,HS,36.735194,-87.471003
115,Christian County,Freedom Elementary School,115026,A1,Title 1 Eligible - Schoolwide School,ES,36.891644,-87.489775
115,Christian County,Christian County High School,115030,A1,Title 1 Eligible - Schoolwide School,HS,36.87892516,-87.49288328
