SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,LEVEL,STARS,GAP_REDUCTION,FED_CLASS,PROFICIENCY_RATE,PROFICIENCY_RATING,SEPERATE_RATE,SEPERATE_RATING,GROWTH_RATE,GROWTH_RATING,ELP_GROWTH,TRANSITION_RATE,TRANSITION_RATING,TRANSITION_ELP,GRAD_RATE,GRAD_RATING,OVERALL_SCORE,REASON,GAP_DEMO,FEED_SCHOOL,PROF_WGHT,SEP_WGHT,GROWTH_WGHT,TRANS_WGHT,GRAD_WGHT
20182019,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,HS,3,N,,56.9,Medium,62.5,Medium,.,,,81.3,High,,92.4,Low,67.6,,Disability:Non-Disability,,26.7,9.8,.,25.4,5.8
20182019,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,HS,3,N,,52.1,Low,71.1,High,.,,,80.9,High,,94.4,Medium,66.7,,,,24.4,11.1,.,25.3,5.9
20182019,006,BATH,025,Bath County,020,Bath County Middle School,025020,006025020,210033001606,KEDC,903,MS,3,N,,70.0,Medium,68.8,Medium,51.4,Medium,,.,,,.,,62.9,,,,25.5,18.6,18.7,.,.
20182019,006,BATH,025,Bath County,014,Crossroads Elementary School,025014,006025014,210033002223,KEDC,903,ES,3,N,,80.3,High,70.8,Medium,43.1,Very Low,,.,,,.,,64.2,,,,29.3,19.2,15.7,.,.
20182019,006,BATH,025,Bath County,030,Owingsville Elementary School,025030,006025030,210033000056,KEDC,903,ES,3,N,,65.3,Low,64.7,Medium,50.3,Low,,.,,,.,,59.7,,,,23.8,17.5,18.3,.,.
20182019,006,BATH,025,Bath County,,---District Total---,025,,,KEDC,903,HS,3,N,,51.8,Low,70.7,High,.,,,80.9,High,,93.7,Medium,66.5,,,,24.3,11.0,.,25.3,5.9
20182019,006,BATH,025,Bath County,,---District Total---,025,,,KEDC,903,MS,3,N,,70.0,Medium,68.8,Medium,51.4,Medium,,.,,,.,,62.9,,,,25.5,18.6,18.7,.,.
20182019,006,BATH,025,Bath County,,---District Total---,025,,,KEDC,903,ES,3,N,,72.0,Medium,67.6,Medium,47.1,Very Low,,.,,,.,,61.7,,,,26.3,18.3,17.2,.,.
20182019,059,KENTON,026,Beechwood Independent,010,Beechwood Elementary School,026010,059026010,210036000059,NKCES,905,ES,4,N,,90.1,Very High,78.8,High,51.9,Low,,.,,,.,,73.1,,,,32.8,21.3,18.9,.,.
20182019,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,059026020,210036000060,NKCES,905,MS,4,N,,88.5,Very High,78.1,High,47.2,Low,,.,,,.,,70.6,,,,32.3,21.2,17.2,.,.
