SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,SCHOOL TYPE,LEVEL,FEDERAL CLASSIFICATION,READING_MATH INDICATOR RATE,READING_MATH INDICATOR RATING,SCIENCE_SOCIAL STUDIES_COMBINED WRITING INDICATOR RATE,SCIENCE_SOCIAL STUDIES_COMBINED WRITING INDICATOR RATING,GRADUATION RATE INDICATOR,GRADUATION RATING INDICATOR,REASON FOR FEDERAL CLASSIFICATION,FEEDER SCHOOL,OVERALL INDICATOR RATE,OVERALL INDICATOR RATING,ENGLISH LEARNERS PROGRESS INDICATOR RATE,ENGLISH LEARNERS PROGRESS INDICATOR RATING,QUALITY OF SCHOOL CLIMATE AND SAFETY INDICATOR RATE,QUALITY OF SCHOOL CLIMATE AND SAFETY INDICATOR RATING,POSTSECONDARY INDICATOR RATE,POSTSECONDARY INDICATOR RATING
20212022,007,BELL,031,Bell County,390,Yellow Creek School Center,031390,007031390,210039000074,SESC,907,A1,MS,"",57.6,3,53.3,3,"","","","",56.2,3,"","",71.8,4,"",""
20212022,019,CAMPBELL,032,Bellevue Independent,"",---District Total---,032,"","",NKCES,905,"",ES,"",28.5,1,32.8,1,"","","","",32.0,1,"","",68.2,2,"",""
20212022,019,CAMPBELL,032,Bellevue Independent,"",---District Total---,032,"","",NKCES,905,"",HS,"",46.9,2,49.8,3,92.1,3,"","",60.1,3,"","",61.2,3,90.2,4
20212022,019,CAMPBELL,032,Bellevue Independent,"",---District Total---,032,"","",NKCES,905,"",MS,"",43.4,2,44.8,2,"","","","",44.9,2,"","",62.4,2,"",""
20212022,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,019032010,210042000075,NKCES,905,A1,HS,"",46.9,2,49.8,3,92.1,3,"","",60.1,3,"","",61.2,3,90.2,4
20212022,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,019032010,210042000075,NKCES,905,A1,MS,"",43.4,2,44.8,2,"","","","",44.9,2,"","",62.4,2,"",""
20212022,019,CAMPBELL,032,Bellevue Independent,020,Grandview Elementary School,032020,019032020,210042000076,NKCES,905,A1,ES,CSI,28.5,1,32.8,1,"","",Bottom 5%,"",32.0,1,"","",68.2,2,"",""
20212022,073,MADISON,034,Berea Independent,"",---District Total---,034,"","",SESC,907,"",ES,"",42.6,2,43.0,2,"","","","",44.1,2,"","",74.3,3,"",""
20212022,073,MADISON,034,Berea Independent,"",---District Total---,034,"","",SESC,907,"",HS,"",60.1,3,44.0,2,89.0,2,"","",59.1,3,"","",59.5,3,62.7,2
20212022,073,MADISON,034,Berea Independent,"",---District Total---,034,"","",SESC,907,"",MS,"",49.6,2,41.1,2,"","","","",46.3,2,"","",66.8,3,"",""
20212022,073,MADISON,034,Berea Independent,010,Berea Community Elementary School,034010,073034010,210048000077,SESC,907,A1,ES,TSI,42.6,2,43.0,2,"","",Disability,"",44.1,2,"","",74.3,3,"",""
20212022,073,MADISON,034,Berea Independent,015,Berea Community Middle School,034015,073034015,210048001658,SESC,907,A1,MS,TSI,49.6,2,41.1,2,"","",Disability,"",46.3,2,"","",66.8,3,"",""
20212022,073,MADISON,034,Berea Independent,020,Berea Community High School,034020,073034020,210048000078,SESC,907,A1,HS,"",60.1,3,44.0,2,89.0,2,"","",59.1,3,"","",59.5,3,62.7,2
20212022,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",ES,"",75.3,4,65.7,3,"","","","",70.6,4,57.9,3,76.7,3,"",""
20212022,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",HS,"",66.8,4,55.5,4,94.1,3,"","",66.5,3,25.7,3,65.5,4,79.0,3
20212022,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",MS,"",68.2,4,59.6,4,"","","","",62.1,4,23.2,2,67.8,3,"",""
20212022,008,BOONE,035,Boone County,005,A M Yealey Elementary School,035005,008035005,210051000079,NKCES,905,A1,ES,TSI,65.5,3,53.0,3,"","",Disability,"",60.3,3,53.2,3,76.3,3,"",""
20212022,008,BOONE,035,Boone County,006,Erpenbeck Elementary School,035006,008035006,210051001710,NKCES,905,A1,ES,"",90.3,5,81.1,5,"","","","",84.8,5,63.9,4,77.5,4,"",""
20212022,008,BOONE,035,Boone County,008,North Pointe Elementary School,035008,008035008,210051001883,NKCES,905,A1,ES,"",83.4,5,77.9,5,"","","","",80.8,5,"","",77.6,4,"",""
20212022,008,BOONE,035,Boone County,010,Camp Ernst Middle School,035010,008035010,210051001971,NKCES,905,A1,MS,TSI,59.7,3,51.9,3,"","",English Learners plus Monitored; Disability,"",56.2,3,"","",64.2,3,"",""
20212022,008,BOONE,035,Boone County,011,Shirley Mann Elementary School,035011,008035011,210051002022,NKCES,905,A1,ES,"",84.7,5,78.6,5,"","","","",81.9,5,"","",80.3,4,"",""
