District Code,District,School,School Code,Level,End Year,Reported Spending per student,Student Count,Educator Count,Years of experience
85,Calloway County,East Calloway Elementary School,85025,ES,2012,8789.0,349.0,23.0,8.0
85,Calloway County,North Calloway Elementary School,85035,ES,2012,7586.0,611.0,38.0,10.0
85,Calloway County,Southwest Calloway Elementary School,85045,ES,2012,8016.0,481.0,30.0,15.0
85,Calloway County,Calloway County Middle School,85055,MS,2012,6072.0,742.0,40.0,9.0
91,Campbell County,Campbell County Middle School,91011,MS,2012,6604.0,1198.0,68.0,10.0
91,Campbell County,John W. Reiley Elementary School,91012,ES,2012,8364.0,371.0,24.0,12.0
91,Campbell County,Donald E. Cline Elementary School,91013,ES,2012,9770.0,312.0,23.0,10.0
91,Campbell County,Alexandria Educational Center,91016,HS,2012,,35.0,,
91,Campbell County,Campbell Ridge Elementary,91019,ES,2012,7996.0,639.0,43.0,10.0
91,Campbell County,Crossroads Elementary School,91035,ES,2012,9898.0,509.0,41.0,8.0
91,Campbell County,Grant's Lick Elementary School,91050,ES,2012,10076.0,242.0,19.0,9.0
91,Campbell County,Campbell County High School,91100,HS,2012,7035.0,1436.0,80.0,10.0
92,Campbellsville Independent,Campbellsville Elementary School,92010,ES,2012,10697.0,487.0,37.0,16.0
92,Campbellsville Independent,Campbellsville High School,92020,HS,2012,13764.0,243.0,19.0,12.0
92,Campbellsville Independent,Campbellsville Middle School,92025,ES,2012,10949.0,335.0,25.0,11.0
92,Campbellsville Independent,Campbellsville Middle School,92025,MS,2012,10949.0,335.0,25.0,11.0
95,Carlisle County,Carlisle County Middle School,95020,MS,2012,5411.0,184.0,12.0,10.0
95,Carlisle County,Carlisle County High School,95040,HS,2012,6238.0,228.0,16.0,9.0
95,Carlisle County,Carlisle County Elementary School,95060,ES,2012,6987.0,354.0,31.0,9.0
101,Carroll County,Cartmell Elementary,101005,ES,2012,7553.0,433.0,28.0,7.0
101,Carroll County,Kathryn Winn Primary,101010,ES,2012,10001.0,441.0,32.0,13.0
101,Carroll County,Carroll County High School,101018,HS,2012,7653.0,512.0,33.0,9.0
101,Carroll County,Carroll County Middle School,101019,MS,2012,8347.0,407.0,28.0,11.0
105,Carter County,Carter Elementary School,105050,ES,2012,,155.0,12.0,8.0
105,Carter County,Heritage Elementary School,105052,ES,2012,10782.0,383.0,33.0,16.0
105,Carter County,East Carter County High School,105120,HS,2012,736.0,770.0,50.0,10.0
105,Carter County,East Carter Middle School,105130,MS,2012,7577.0,590.0,46.0,9.0
105,Carter County,Olive Hill Elementary School,105250,ES,2012,9232.0,606.0,42.0,14.0
105,Carter County,Prichard Elementary School,105340,ES,2012,7911.0,673.0,44.0,14.0
105,Carter County,Star Elementary School,105450,ES,2012,11481.0,121.0,11.0,15.0
105,Carter County,Upper Tygart Elementary School,105490,ES,2012,8925.0,244.0,19.0,10.0
105,Carter County,West Carter County High School,105500,HS,2012,8181.0,549.0,41.0,13.0
105,Carter County,West Carter Middle School,105505,MS,2012,7221.0,467.0,31.0,16.0
111,Casey County,Walnut Hill Elementary School,111015,ES,2012,9049.0,439.0,33.0,13.0
111,Casey County,Jones Park Elementary,111026,ES,2012,8433.0,450.0,32.0,13.0
111,Casey County,Casey County High School,111045,HS,2012,7979.0,680.0,43.0,12.0
111,Casey County,Casey County Middle School,111070,MS,2012,7825.0,355.0,22.0,12.0
111,Casey County,Liberty Elementary School,111190,ES,2012,7358.0,366.0,22.0,12.0
113,Caverna Independent,Caverna Elementary School,113025,ES,2012,8336.0,369.0,27.0,13.0
113,Caverna Independent,Caverna Middle School,113026,MS,2012,8488.0,157.0,12.0,10.0
113,Caverna Independent,Caverna High School,113030,HS,2012,11674.0,196.0,17.0,13.0
115,Christian County,Martin Luther King Jr. Elementary School,115017,ES,2012,7787.0,625.0,41.0,8.0
115,Christian County,Belmont Elementary School,115020,ES,2012,7473.0,420.0,26.0,10.0
115,Christian County,Christian County High School,115030,HS,2012,7218.0,1177.0,80.0,10.0
115,Christian County,Christian County Middle School,115035,MS,2012,7142.0,783.0,53.0,9.0
115,Christian County,Crofton Elementary School,115040,ES,2012,8491.0,272.0,18.0,11.0
115,Christian County,North Drive Middle School,115045,MS,2012,9646.0,359.0,30.0,8.0
115,Christian County,Hopkinsville High School,115050,HS,2012,6540.0,1102.0,71.0,9.0
115,Christian County,Indian Hills Elementary School,115055,ES,2012,7998.0,488.0,32.0,14.0
115,Christian County,Hopkinsville Middle School,115058,MS,2012,6531.0,741.0,42.0,10.0
115,Christian County,Bluegrass Learning Academy,115100,HS,2012,,83.0,,
115,Christian County,Holiday Elementary School,115105,ES,2012,7102.0,589.0,38.0,10.0
115,Christian County,Lacy Elementary School,115110,ES,2012,7927.0,337.0,22.0,9.0
115,Christian County,Millbrooke Elementary School,115125,ES,2012,6531.0,539.0,30.0,11.0
115,Christian County,Pembroke Elementary School,115130,ES,2012,6757.0,426.0,26.0,8.0
115,Christian County,Sinking Fork Elementary School,115150,ES,2012,8538.0,325.0,22.0,13.0
115,Christian County,South Christian Elementary School,115170,ES,2012,7943.0,593.0,40.0,10.0
115,Christian County,Christian County Day Treatment,115180,HS,2012,,30.0,,
121,Clark County,Phoenix Academy,121013,HS,2012,,19.0,,
121,Clark County,Central Elementary School,121020,ES,2012,7443.0,383.0,26.0,10.0
121,Clark County,George Rogers Clark High School,121030,HS,2012,6124.0,1635.0,90.0,9.0
121,Clark County,Conkwright Middle School,121035,MS,2012,6024.0,555.0,31.0,11.0
121,Clark County,Fannie Bush Elementary,121040,ES,2012,9984.0,255.0,22.0,13.0
121,Clark County,Hannah McClure Elementary,121050,ES,2012,7131.0,287.0,14.0,12.0
121,Clark County,Clark Middle School,121070,MS,2012,5600.0,685.0,39.0,6.0
121,Clark County,Pilot View Elementary School,121080,ES,2012,8452.0,136.0,9.0,14.0
121,Clark County,Providence Elementary,121090,ES,2012,6937.0,284.0,16.0,19.0
121,Clark County,Shearer Elementary School,121095,ES,2012,8805.0,377.0,28.0,12.0
