District Code,District,School,School Code,Level,End Year,Reported Spending per student,Student Count,Educator Count,Years of experience
134,Covington Independent,Ninth District Elementary,134150,ES,2012,8744,356,23,8
134,Covington Independent,Glenn O Swing Elementary,134160,ES,2012,7653,405,28,8
134,Covington Independent,Sixth District Elementary School,134170,ES,2012,7876,438,28,9
135,Crittenden County,Crittenden County High School,135020,HS,2012,8907,341,24,11
135,Crittenden County,Crittenden County Middle School,135025,MS,2012,7524,285,18,12
135,Crittenden County,Crittenden County Elementary School,135100,ES,2012,6434,617,37,10
141,Cumberland County,Cumberland County Elementary School,141070,ES,2012,8877,453,30,15
141,Cumberland County,Cumberland County Middle School,141075,MS,2012,8291,210,14,9
141,Cumberland County,Cumberland County High School,141080,HS,2012,8575,313,19,12
143,Danville Independent,John W. Bate Middle School,143005,MS,2012,8192,372,25,9
143,Danville Independent,Danville High School,143030,HS,2012,9300,526,33,11
143,Danville Independent,Hogsett Elementary School,143040,ES,2012,10263,267,23,11
143,Danville Independent,Toliver Elementary School,143060,ES,2012,8805,290,21,10
143,Danville Independent,Jennie Rogers Elementary School,143110,ES,2012,8914,279,22,10
145,Daviess County,Apollo High School,145005,HS,2012,8623,1284,82,13
145,Daviess County,Meadow Lands Elementary School,145006,ES,2012,7734,520,32,9
145,Daviess County,East View Elementary School,145007,ES,2012,8540,422,28,13
145,Daviess County,F T Burns Middle School,145008,MS,2012,7314,806,52,12
145,Daviess County,Daviess County High School,145010,HS,2012,7939,1512,91,14
145,Daviess County,Southern Oaks Elementary School,145011,ES,2012,9110,360,22,10
145,Daviess County,Daviess County Middle School,145020,MS,2012,6888,853,52,12
145,Daviess County,Highland Elementary School,145025,ES,2012,7706,590,34,12
145,Daviess County,Deer Park Elementary School,145040,ES,2012,8280,499,32,14
145,Daviess County,Sorgho Elementary School,145070,ES,2012,9554,427,29,14
145,Daviess County,Audubon Elementary School,145085,ES,2012,7876,457,29,13
145,Daviess County,Tamarack Elementary School,145095,ES,2012,9366,416,28,10
145,Daviess County,West Louisville Elementary School,145130,ES,2012,9225,341,26,12
145,Daviess County,Whitesville Elementary School,145140,ES,2012,8346,358,24,12
145,Daviess County,F T Burns Elementary School,145145,ES,2012,9316,470,34,12
145,Daviess County,Country Heights Elementary School,145150,ES,2012,9467,365,25,16
145,Daviess County,College View Middle School,145155,MS,2012,7842,807,54,16
145,Daviess County,Owensboro Day Treatment,145160,HS,2012,,61,,
145,Daviess County,Valley High School,145170,HS,2012,,6,,
145,Daviess County,Heritage Park High School,145180,HS,2012,,149,,
146,Dawson Springs Independent,Dawson Springs Elementary,146017,ES,2012,6890,340,26,16
146,Dawson Springs Independent,Dawson Springs Jr/Sr High School,146018,HS,2012,5931,298,21,11
146,Dawson Springs Independent,Dawson Springs Jr/Sr High School,146018,MS,2012,5931,298,21,11
147,Dayton Independent,Dayton High School,147010,MS,2012,9947,338,29,9
