SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,SCHOOL TYPE,TOTAL YEARS EXPERIENCE,EDUCATOR COUNT,AVERAGE YEARS OF EXPERIENCE
20222023,016,BUTLER,075,Butler County,035,Butler County Middle School,075035,016075035,210081001697,GRREC,902,A1,368,35,10.51
20222023,016,BUTLER,075,Butler County,120,Morgantown Elementary School,075120,016075120,210081000164,GRREC,902,A1,374,34,11
20222023,017,CALDWELL,081,Caldwell County,"",---District Total---,081,"","",WKEC,908,"",1538,113,13.61
20222023,017,CALDWELL,081,Caldwell County,010,Caldwell County High School,081010,017081010,210084000166,WKEC,908,A1,452,33,13.7
20222023,017,CALDWELL,081,Caldwell County,020,Caldwell County Middle School,081020,017081020,210084000167,WKEC,908,A1,377,27,13.96
20222023,017,CALDWELL,081,Caldwell County,030,Caldwell County Primary School,081030,017081030,210084001660,WKEC,908,A1,435,29,15
20222023,017,CALDWELL,081,Caldwell County,070,Caldwell County Elementary School,081070,017081070,210084000170,WKEC,908,A1,274,24,11.42
20222023,018,CALLOWAY,085,Calloway County,"",---District Total---,085,"","",WKEC,908,"",2572,179,14.37
20222023,018,CALLOWAY,085,Calloway County,020,Calloway County High School,085020,018085020,210087000171,WKEC,908,A1,787,51,15.43
20222023,018,CALLOWAY,085,Calloway County,025,East Calloway Elementary School,085025,018085025,210087000172,WKEC,908,A1,234,16,14.63
20222023,018,CALLOWAY,085,Calloway County,035,North Calloway Elementary School,085035,018085035,210087000173,WKEC,908,A1,334,29,11.52
20222023,018,CALLOWAY,085,Calloway County,045,Southwest Calloway Elementary School,085045,018085045,210087000174,WKEC,908,A1,283,21,13.48
20222023,018,CALLOWAY,085,Calloway County,055,Calloway County Middle School,085055,018085055,210087001411,WKEC,908,A1,658,44,14.95
20222023,018,CALLOWAY,085,Calloway County,075,Calloway County Preschool Center,085075,018085075,210087000931,WKEC,908,A4,106,7,15.14
