SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,MEMBERSHIP,Personnel Spending per Student - Federal Funds,Non-Personnel Spending per Student - Federal Funds,Total Spending per Student - Federal Funds,Personnel Spending per Student - State/Local Funds,Non-Personnel Spending per Student - State/Local Funds,Total Spending per Student - State/Local Funds,Total Spending per Student - All Fund Sources
20192020,008,BOONE,035,Boone County,071,Larry A. Ryle High School,035071,008035071,210051000011,NKCES,905,1926,259,171,430,8993,1259,10252,10682
20192020,008,BOONE,035,Boone County,075,Gray Middle School,035075,008035075,210051000638,NKCES,905,1053,275,167,442,8807,1218,10025,10467
20192020,008,BOONE,035,Boone County,080,New Haven Elementary School,035080,008035080,210051000088,NKCES,905,880,371,161,532,8680,1144,9824,10356
20192020,008,BOONE,035,Boone County,081,Ockerman Elementary School,035081,008035081,210051000089,NKCES,905,702,821,290,1111,9393,1293,10686,11797
20192020,008,BOONE,035,Boone County,083,Stephens Elementary School,035083,008035083,210051001695,NKCES,905,542,598,264,863,10285,1228,11513,12376
20192020,008,BOONE,035,Boone County,085,Ockerman Middle School,035085,008035085,210051000090,NKCES,905,679,328,195,523,9644,1323,10967,11490
20192020,008,BOONE,035,Boone County,170,Boone County Alternative Center,035170,008035170,210051002266,NKCES,905,307,,,,,,,
20192020,009,BOURBON,041,Bourbon County,"",---District Total---,041,"","",CKEC,901,2620,1168,386,1554,8559,1857,10416,12695
20192020,009,BOURBON,041,Bourbon County,010,Bourbon Central Elementary School,041010,009041010,210054001576,CKEC,901,535,2722,332,9375,2042,1340,11417,12159
20192020,009,BOURBON,041,Bourbon County,011,Bourbon County Preschool Headstart,041011,009041011,210054002054,CKEC,901,0,,,,,,,
20192020,009,BOURBON,041,Bourbon County,030,Cane Ridge Elementary School,041030,009041030,210054000024,CKEC,901,480,1063,320,9309,2198,1229,11507,12168
20192020,009,BOURBON,041,Bourbon County,090,North Middletown Elementary School,041090,009041090,210054000096,CKEC,901,166,1335,402,9848,2206,1582,12054,12903
20192020,009,BOURBON,041,Bourbon County,110,Bourbon County High School,041110,009041110,210054000098,CKEC,901,799,648,335,8794,2198,829,10992,11683
20192020,009,BOURBON,041,Bourbon County,120,Bourbon County Middle School,041120,009041120,210054000099,CKEC,901,640,553,313,8664,1960,711,10624,11395
20192020,114,WARREN,042,Bowling Green Independent,"",---District Total---,042,"","",GRREC,902,4206,523,340,864,9451,2056,11507,16838
20192020,114,WARREN,042,Bowling Green Independent,010,Dishman McGinnis Elementary School,042010,114042010,210057000100,GRREC,902,425,859,353,1212,10082,1752,11834,17932
20192020,114,WARREN,042,Bowling Green Independent,011,Childrens Crisis Stabilization Unit,042011,114042011,210057001830,GRREC,902,0,,,,,,,
20192020,114,WARREN,042,Bowling Green Independent,013,Warren Regional Juvenile Detention Ctr,042013,114042013,210057001911,GRREC,902,13,,,,,,,
20192020,114,WARREN,042,Bowling Green Independent,057,Parker-Bennett-Curry School,042057,114042057,210057000102,GRREC,902,345,796,454,1251,10188,2513,12701,19116
20192020,114,WARREN,042,Bowling Green Independent,060,Potter Gray Elementary,042060,114042060,210057000103,GRREC,902,419,244,302,546,8604,1779,10383,14913
20192020,114,WARREN,042,Bowling Green Independent,065,Bowling Green Junior High,042065,114042065,210057000104,GRREC,902,936,485,297,783,8672,2123,10795,15731
20192020,114,WARREN,042,Bowling Green Independent,070,Bowling Green High School,042070,114042070,210057000105,GRREC,902,1252,284,327,611,8861,2123,10984,15749
20192020,114,WARREN,042,Bowling Green Independent,080,T C Cherry Elementary School,042080,114042080,210057000106,GRREC,902,266,782,355,1137,9378,1731,11109,16728
20192020,114,WARREN,042,Bowling Green Independent,090,W R McNeill Elementary School,042090,114042090,210057000107,GRREC,902,428,338,301,639,8736,1561,10297,14744
20192020,114,WARREN,042,Bowling Green Independent,098,Bowling Green Learning Center,042098,114042098,210057001696,GRREC,902,122,,,,,,,
20192020,010,BOYD,045,Boyd County,"",---District Total---,045,"","",KEDC,903,3022,1180,377,1556,10056,2062,12118,16315
20192020,010,BOYD,045,Boyd County,010,Boyd County High School,045010,010045010,210062000108,KEDC,903,852,225,225,450,9479,2124,11603,12053
20192020,010,BOYD,045,Boyd County,020,Cannonsburg Elementary School,045020,010045020,210062000109,KEDC,903,289,995,307,1302,12294,2157,14451,15753
20192020,010,BOYD,045,Boyd County,035,Boyd County Middle School,045035,010045035,210062000112,KEDC,903,705,706,279,985,9144,1986,11130,12115
20192020,010,BOYD,045,Boyd County,045,Boyd County Central School,045045,010045045,210062002466,KEDC,903,24,,,,,,,
20192020,010,BOYD,045,Boyd County,080,Summit Elementary School,045080,010045080,210062000117,KEDC,903,494,613,189,802,9931,1991,11922,12724
20192020,010,BOYD,045,Boyd County,085,Ramey-Estep High School,045085,010045085,210062000640,KEDC,903,93,,,,,,,
20192020,010,BOYD,045,Boyd County,095,Catlettsburg Elementary School,045095,010045095,210062000118,KEDC,903,238,1215,448,1663,12723,2938,15661,17324
20192020,010,BOYD,045,Boyd County,097,Ponderosa Elementary School,045097,010045097,210062000030,KEDC,903,327,907,129,1036,10403,2009,12412,13448
20192020,010,BOYD,045,Boyd County,120,Boyd Co Career & Tech Educ Ctr Voc Sch,045120,010045120,210062001479,KEDC,903,0,,,,,,,
20192020,010,BOYD,045,Boyd County,198,Boyd Co Early Childhood Academy,045198,010045198,210062001923,KEDC,903,0,,,,,,,
20192020,011,BOYLE,051,Boyle County,"",---District Total---,051,"","",CKEC,901,2617,399,111,510,9825,1960,11785,20202
20192020,011,BOYLE,051,Boyle County,003,Boyle County Middle School,051003,011051003,210063000119,CKEC,901,660,139,111,250,8692,1631,10323,11953.00
20192020,011,BOYLE,051,Boyle County,004,Boyle County Day Treatment,051004,011051004,210063001713,CKEC,901,14,,,,,,,
20192020,011,BOYLE,051,Boyle County,005,Boyle County High School,051005,011051005,210063000120,CKEC,901,822,206,109,315,9536,1748,11284,11599
20192020,011,BOYLE,051,Boyle County,040,Junction City Elementary School,051040,011051040,210063000121,CKEC,901,344,1176,94,1270,10452,1709,12162,12674
20192020,011,BOYLE,051,Boyle County,050,Woodlawn Elementary School,051050,011051050,210063000122,CKEC,901,534,303,94,397,9555,1450,11005.00,12455.00
20192020,011,BOYLE,051,Boyle County,080,Perryville Elementary School,051080,011051080,210063000124,CKEC,901,243,769,94,863,11228,1710,12938,13801
20192020,012,BRACKEN,055,Bracken County,"",---District Total---,055,"","",NKCES,905,1183,628,249,878,8573,2212,10785,13555
20192020,012,BRACKEN,055,Bracken County,010,Bracken County High School,055010,012055010,210066000125,NKCES,905,364,525,281,805,8710,2885,11595,12401
20192020,012,BRACKEN,055,Bracken County,050,Taylor Elementary School,055050,012055050,210066000128,NKCES,905,528,800,262,631,10006,2102,12109,13172
20192020,012,BRACKEN,055,Bracken County,060,Bracken County Middle School,055060,012055060,210066001560,NKCES,905,291,445,186,631,8356,2267,10624,11255
20192020,013,BREATHITT,061,Breathitt County,"",---District Total---,061,"","",KVEC,904,1767,1291,401,1692,8473,2277,10750,14534
20192020,013,BREATHITT,061,Breathitt County,025,LBJ Elementary Preschool,061025,013061025,210069002494,KVEC,904,0,,,,,,,
20192020,013,BREATHITT,061,Breathitt County,030,Highland-Turner Elementary School,061030,013061030,210069001659,KVEC,904,193,740,388,1130,8705,2029,10733,12072
20192020,013,BREATHITT,061,Breathitt County,031,Breathitt Regional Juvenile Det Ctr,061031,013061031,210069001623,KVEC,904,9,,,,,,,
20192020,013,BREATHITT,061,Breathitt County,033,Breathitt County Day Treatment,061033,013061033,210069001842,KVEC,904,18,,,,,,,
20192020,013,BREATHITT,061,Breathitt County,060,Breathitt County High School,061060,013061060,210069000129,KVEC,904,854,1289,400,1689,7233,1791,9023,10802
20192020,013,BREATHITT,061,Breathitt County,150,Sebastian Elementary School,061150,013061150,210069000132,KVEC,904,452,1253,313,1566,8377,2840,11216,12920
20192020,013,BREATHITT,061,Breathitt County,185,Marie Roberts-Caney Elementary School,061185,013061185,210069000133,KVEC,904,241,1220,358,1580,8436,2107,10547,12344
20192020,014,BRECKINRIDGE,065,Breckinridge County,"",---District Total---,065,"","",GRREC,902,2564,1027,186,1213,8951,1721,10672,16148
20192020,014,BRECKINRIDGE,065,Breckinridge County,010,Breckinridge County High School,065010,014065010,210072000137,GRREC,902,891,401,241,642,7800,1692,9492,14367
20192020,014,BRECKINRIDGE,065,Breckinridge County,020,Hardinsburg Elementary School,065020,014065020,210072000138,GRREC,902,379,2312,114,2426,10242,1736,11978,18710
20192020,014,BRECKINRIDGE,065,Breckinridge County,030,Ben Johnson Elementary School,065030,014065030,210072000139,GRREC,902,219,870,260,1130,9307,1722,11030,16448
20192020,014,BRECKINRIDGE,065,Breckinridge County,040,Custer Elementary School,065040,014065040,210072000140,GRREC,902,148,1112,228,1340,12329,2027,14356,19983
20192020,014,BRECKINRIDGE,065,Breckinridge County,050,Irvington Elementary School,065050,014065050,210072000141,GRREC,902,327,1718,219,1937,9708,1735,11443,17680
20192020,014,BRECKINRIDGE,065,Breckinridge County,100,Breckinridge County Middle School,065100,014065100,210072001304,GRREC,902,600,802,95,897,8468,1671,10140,15286
20192020,015,BULLITT,071,Bullitt County,"",---District Total---,071,"","",OVEC,906,12717,414,114,528,8895,1508,10402,12406
20192020,015,BULLITT,071,Bullitt County,005,Bernheim Middle School,071005,015071005,210075000414,OVEC,906,476,313,141,454,8386,1387,9773,11753
20192020,015,BULLITT,071,Bullitt County,006,Freedom Elementary School,071006,015071006,210075001958,OVEC,906,466,410,68,477,9113,1415,10528,12530
20192020,015,BULLITT,071,Bullitt County,007,Zoneton Middle School,071007,015071007,210075001973,OVEC,906,443,539,82,621,8548,1436,9984,12130
20192020,015,BULLITT,071,Bullitt County,008,Shepherdsville Elementary,071008,015071008,210075001974,OVEC,906,525,566,334,900,8967,1473,10439,12948
20192020,015,BULLITT,071,Bullitt County,009,Eastside Middle School,071009,015071009,210075001975,OVEC,906,649,327,62,389,8111,1339,9450,11271
20192020,015,BULLITT,071,Bullitt County,010,Brooks Elementary School,071010,015071010,210075000144,OVEC,906,425,640,123,763,10074,1597,11671,13977
20192020,015,BULLITT,071,Bullitt County,015,Bullitt Central High School,071015,015071015,210075000145,OVEC,906,1257,299,143,442,8680,1408,10088,12171
20192020,015,BULLITT,071,Bullitt County,016,Bullitt East High School,071016,015071016,210075001409,OVEC,906,1421,359,73,432,8070,1401,9471,11502
20192020,015,BULLITT,071,Bullitt County,018,Bullitt Lick Middle School,071018,015071018,210075001410,OVEC,906,561,586,129,715,8219,1427,9646,11859
20192020,015,BULLITT,071,Bullitt County,020,Cedar Grove Elementary,071020,015071020,210075000146,OVEC,906,437,355,90,445,9428,1514,10942,12935
20192020,015,BULLITT,071,Bullitt County,025,Hebron Middle School,071025,015071025,210075000147,OVEC,906,502,315,86,401,8055,1512,9567,11471
