SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,TOTEXP,Teacher Count,AVGEXPERIENCEYEARS
20182019,18,CALLOWAY,85,Calloway County,20,Calloway County High School,85020,18085020,210087000171,WKEC,908,847,50,16.9
20182019,18,CALLOWAY,85,Calloway County,55,Calloway County Middle School,85055,18085055,210087001411,WKEC,908,511,38,13.4
20182019,18,CALLOWAY,85,Calloway County,75,Calloway County Preschool Center,85075,18085075,210087000931,WKEC,908,107,6,17.8
20182019,18,CALLOWAY,85,Calloway County,25,East Calloway Elementary School,85025,18085025,210087000172,WKEC,908,196,17,11.5
20182019,18,CALLOWAY,85,Calloway County,35,North Calloway Elementary School,85035,18085035,210087000173,WKEC,908,340,32,10.6
20182019,18,CALLOWAY,85,Calloway County,45,Southwest Calloway Elementary School,85045,18085045,210087000174,WKEC,908,355,23,15.4
20182019,18,CALLOWAY,85,Calloway County,,---District Total---,85,,,WKEC,908,2406,171,14.1
20182019,19,CAMPBELL,91,Campbell County,16,Alexandria Educational Center,91016,19091016,210090001398,NKCES,905,8,3,2.7
20182019,19,CAMPBELL,91,Campbell County,100,Campbell County High School,91100,19091100,210090000941,NKCES,905,991,78,12.7
20182019,19,CAMPBELL,91,Campbell County,11,Campbell County Middle School,91011,19091011,210090001306,NKCES,905,589,65,9.1
20182019,19,CAMPBELL,91,Campbell County,19,Campbell Ridge Elementary,91019,19091019,210090001978,NKCES,905,403,30,13.4
20182019,19,CAMPBELL,91,Campbell County,35,Crossroads Elementary School,91035,19091035,210090002198,NKCES,905,314,29,10.8
20182019,19,CAMPBELL,91,Campbell County,13,Donald E. Cline Elementary School,91013,19091013,210090001335,NKCES,905,239,21,11.4
20182019,19,CAMPBELL,91,Campbell County,50,Grant's Lick Elementary School,91050,19091050,210090000180,NKCES,905,256,20,12.8
20182019,19,CAMPBELL,91,Campbell County,12,John W. Reiley Elementary School,91012,19091012,210090001320,NKCES,905,279,22,12.7
20182019,19,CAMPBELL,91,Campbell County,,---District Total---,91,,,NKCES,905,3079,268,11.5
20182019,109,TAYLOR,92,Campbellsville Independent,11,Campbellsville Eagle Academy,92011,109092011,210093001653,GRREC,902,49,3,16.3
20182019,109,TAYLOR,92,Campbellsville Independent,10,Campbellsville Elementary School,92010,109092010,210093000182,GRREC,902,428,34,12.6
20182019,109,TAYLOR,92,Campbellsville Independent,20,Campbellsville High School,92020,109092020,210093000183,GRREC,902,381,26,14.7
20182019,109,TAYLOR,92,Campbellsville Independent,25,Campbellsville Middle School,92025,109092025,210093000184,GRREC,902,369,26,14.2
20182019,109,TAYLOR,92,Campbellsville Independent,,---District Total---,92,,,GRREC,902,1053,77,13.7
20182019,20,CARLISLE,95,Carlisle County,60,Carlisle County Elementary School,95060,20095060,210096000187,WKEC,908,268,25,10.7
20182019,20,CARLISLE,95,Carlisle County,40,Carlisle County High School,95040,20095040,210096000186,WKEC,908,227,19,11.9
