SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,STATE_SCH_ID,NCESID,COOP,COOP_CODE,PERSON_PER_STU_FED,NONPERSON_PER_STU_FED,TOTAL_PER_STU_FED,PERSON_PER_STU_STATELOCAL,NONPERSON_PER_STU_STATELOCAL,TOTAL_PER_STU_STATELOCAL,TOTAL_PER_STU_ALLFUNDS
20182019,15,BULLITT,71,Bullitt County,50,MT. Washington Middle School,15071050,210075000150,OVEC,906,575,57,632,8367,1481,9848,12541
20182019,15,BULLITT,71,Bullitt County,5,Bernheim Middle School,15071005,210075000414,OVEC,906,291,102,393,8596,1445,10041,12495
20182019,15,BULLITT,71,Bullitt County,9,Eastside Middle School,15071009,210075001975,OVEC,906,294,52,347,8092,1337,9429,11837
20182019,15,BULLITT,71,Bullitt County,45,Maryville Elementary School,15071045,210075000149,OVEC,906,416,97,513,9562,1557,11120,13694
20182019,15,BULLITT,71,Bullitt County,55,MT. Washington Elementary,15071055,210075000151,OVEC,906,175,52,228,8148,1280,9428,11717
20182019,15,BULLITT,71,Bullitt County,70,Nichols Elementary,15071070,210075000153,OVEC,906,366,108,473,12440,1818,14258,16793
20182019,15,BULLITT,71,Bullitt County,75,North Bullitt High School,15071075,210075000154,OVEC,906,242,107,349,8446,1412,9859,12269
20182019,15,BULLITT,71,Bullitt County,80,Overdale Elementary School,15071080,210075000155,OVEC,906,417,97,514,9610,1638,11248,13824
20182019,15,BULLITT,71,Bullitt County,90,Roby Elementary School,15071090,210075000156,OVEC,906,494,55,549,8703,1458,10161,12771
20182019,15,BULLITT,71,Bullitt County,65,Pleasant Grove Elementary School,15071065,210075001305,OVEC,906,323,52,375,8037,1293,9330,11767
20182019,15,BULLITT,71,Bullitt County,6,Freedom Elementary School,15071006,210075001958,OVEC,906,465,55,520,9123,1444,10567,13149
20182019,15,BULLITT,71,Bullitt County,10,Brooks Elementary School,15071010,210075000144,OVEC,906,520,182,702,9947,1564,11511,14274
20182019,15,BULLITT,71,Bullitt County,15,Bullitt Central High School,15071015,210075000145,OVEC,906,305,86,391,7718,1393,9111,11563
20182019,15,BULLITT,71,Bullitt County,16,Bullitt East High School,15071016,210075001409,OVEC,906,315,65,380,7525,1320,8845,11286
20182019,15,BULLITT,71,Bullitt County,18,Bullitt Lick Middle School,15071018,210075001410,OVEC,906,399,55,454,8609,1525,10134,12649
20182019,15,BULLITT,71,Bullitt County,20,Cedar Grove Elementary,15071020,210075000146,OVEC,906,299,70,370,8748,1464,10212,12643
20182019,15,BULLITT,71,Bullitt County,60,Crossroads Elementary,15071060,210075002286,OVEC,906,776,121,896,8789,1425,10214,13172
20182019,15,BULLITT,71,Bullitt County,7,Zoneton Middle School,15071007,210075001973,OVEC,906,501,80,580,8560,1474,10034,12676
20182019,15,BULLITT,71,Bullitt County,8,Shepherdsville Elementary,15071008,210075001974,OVEC,906,581,104,684,8406,1579,9985,12731
20182019,84,MERCER,72,Burgin Independent,30,Burgin Independent School,84072030,210078002407,CKEC,901,699,197,895,9137,1840,10977,13367
20182019,16,BUTLER,75,Butler County,120,Morgantown Elementary School,16075120,210081000164,GRREC,902,754,146,900,7118,1340,8457,9358
20182019,16,BUTLER,75,Butler County,35,Butler County Middle School,16075035,210081001697,GRREC,902,560,95,655,7474,1409,8883,9537
20182019,16,BUTLER,75,Butler County,31,North Butler Elementary,16075031,210081001976,GRREC,902,926,98,1024,8102,1376,9478,10502
20182019,16,BUTLER,75,Butler County,30,Butler County High School,16075030,210081000160,GRREC,902,345,112,457,7027,1740,8766,9224
20182019,17,CALDWELL,81,Caldwell County,20,Caldwell County Middle School,17081020,210084000167,WKEC,908,589,134,723,7926,1695,9620,13588
20182019,17,CALDWELL,81,Caldwell County,70,Caldwell County Elementary School,17081070,210084000170,WKEC,908,956,171,1127,7153,1678,8831,13203
20182019,17,CALDWELL,81,Caldwell County,30,Caldwell County Primary School,17081030,210084001660,WKEC,908,952,160,1112,8945,1712,10657,15013
20182019,17,CALDWELL,81,Caldwell County,10,Caldwell County High School,17081010,210084000166,WKEC,908,295,62,357,8978,2487,11465,14492
20182019,18,CALLOWAY,85,Calloway County,55,Calloway County Middle School,18085055,210087001411,WKEC,908,513,260,773,7418,1603,9021,10526
20182019,18,CALLOWAY,85,Calloway County,45,Southwest Calloway Elementary School,18085045,210087000174,WKEC,908,654,180,834,7930,1729,9659,11123
20182019,18,CALLOWAY,85,Calloway County,35,North Calloway Elementary School,18085035,210087000173,WKEC,908,735,181,916,7831,1673,9504,11050
20182019,18,CALLOWAY,85,Calloway County,20,Calloway County High School,18085020,210087000171,WKEC,908,571,200,771,8012,1881,9893,11390
20182019,18,CALLOWAY,85,Calloway County,25,East Calloway Elementary School,18085025,210087000172,WKEC,908,958,174,1132,9667,1992,11659,13696
20182019,19,CAMPBELL,91,Campbell County,13,Donald E. Cline Elementary School,19091013,210090001335,NKCES,905,822,373,1195,10704,2092,12796,15131
20182019,19,CAMPBELL,91,Campbell County,50,Grant's Lick Elementary School,19091050,210090000180,NKCES,905,327,214,541,10234,2100,12334,14014
20182019,19,CAMPBELL,91,Campbell County,100,Campbell County High School,19091100,210090000941,NKCES,905,333,237,570,9127,2123,11250,13004
20182019,19,CAMPBELL,91,Campbell County,35,Crossroads Elementary School,19091035,210090002198,NKCES,905,891,283,1174,10758,1897,12655,15135
20182019,19,CAMPBELL,91,Campbell County,19,Campbell Ridge Elementary,19091019,210090001978,NKCES,905,753,216,969,9171,1818,10989,13194
20182019,19,CAMPBELL,91,Campbell County,12,John W. Reiley Elementary School,19091012,210090001320,NKCES,905,470,281,751,9818,1759,11577,13618
20182019,19,CAMPBELL,91,Campbell County,11,Campbell County Middle School,19091011,210090001306,NKCES,905,374,215,589,8606,1946,10552,12339
20182019,109,TAYLOR,92,Campbellsville Independent,20,Campbellsville High School,109092020,210093000183,GRREC,902,1228,147,1375,11380,3390,17538,14770
20182019,109,TAYLOR,92,Campbellsville Independent,25,Campbellsville Middle School,109092025,210093000184,GRREC,902,1584,216,1800,12071,2843,17682,14914
20182019,109,TAYLOR,92,Campbellsville Independent,10,Campbellsville Elementary School,109092010,210093000182,GRREC,902,996,175,1172,9452,1638,8581,11089
20182019,20,CARLISLE,95,Carlisle County,20,Carlisle County Middle School,20095020,210096000185,WKEC,908,603,97,700,8248,2346,10594,13600
20182019,20,CARLISLE,95,Carlisle County,60,Carlisle County Elementary School,20095060,210096000187,WKEC,908,850,100,950,10950,2606,13556,16812
20182019,20,CARLISLE,95,Carlisle County,40,Carlisle County High School,20095040,210096000186,WKEC,908,118,157,275,10658,2750,13408,15988
20182019,21,CARROLL,101,Carroll County,19,Carroll County Middle School,21101019,210099000191,OVEC,906,938,167,1105,8398,2443,10841,11946
20182019,21,CARROLL,101,Carroll County,18,Carroll County High School,21101018,210099000190,OVEC,906,292,123,415,9350,2776,12126,12541
