SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,SCHOOL TYPE,MEMBERSHIP,Total Spending per Student - All Fund Sources
20212022,23,CASEY,111,Casey County,15,Walnut Hill Elementary School,111015,A1,364,16250
20212022,23,CASEY,111,Casey County,26,Jones Park Elementary,111026,A1,271,18185
20212022,23,CASEY,111,Casey County,45,Casey County High School,111045,A1,589,16196
20212022,23,CASEY,111,Casey County,70,Casey County Middle School,111070,A1,515,13775
20212022,23,CASEY,111,Casey County,190,Liberty Elementary School,111190,A1,357,15070
20212022,5,BARREN,113,Caverna Independent,25,Caverna Elementary School,113025,A1,265,17351
20212022,5,BARREN,113,Caverna Independent,26,Caverna Middle School,113026,A1,168,13214
20212022,5,BARREN,113,Caverna Independent,30,Caverna High School,113030,A1,182,19100
20212022,24,CHRISTIAN,115,Christian County,12,Christian County Public Schools VLA,115012,A5,221,
20212022,24,CHRISTIAN,115,Christian County,17,Martin Luther King Jr. Elementary School,115017,A1,518,13416
20212022,24,CHRISTIAN,115,Christian County,23,Cumberland Hall School,115023,A6,21,
20212022,24,CHRISTIAN,115,Christian County,26,Freedom Elementary School,115026,A1,523,11994
20212022,24,CHRISTIAN,115,Christian County,30,Christian County High School,115030,A1,1160,11193
20212022,24,CHRISTIAN,115,Christian County,35,Christian County Middle School,115035,A1,623,11402
20212022,24,CHRISTIAN,115,Christian County,40,Crofton Elementary School,115040,A1,361,12392
20212022,24,CHRISTIAN,115,Christian County,50,Hopkinsville High School,115050,A1,984,11647
20212022,24,CHRISTIAN,115,Christian County,55,Indian Hills Elementary School,115055,A1,516,11479
20212022,24,CHRISTIAN,115,Christian County,58,Hopkinsville Middle School,115058,A1,543,11370
20212022,24,CHRISTIAN,115,Christian County,100,Bluegrass Learning Academy,115100,A5,134,
20212022,24,CHRISTIAN,115,Christian County,125,Millbrooke Elementary School,115125,A1,739,10925
20212022,24,CHRISTIAN,115,Christian County,130,Pembroke Elementary School,115130,A1,638,11287
20212022,24,CHRISTIAN,115,Christian County,150,Sinking Fork Elementary School,115150,A1,388,12635
20212022,24,CHRISTIAN,115,Christian County,170,South Christian Elementary School,115170,A1,562,12221
20212022,24,CHRISTIAN,115,Christian County,180,Christian County Day Treatment,115180,A6,18,
20212022,24,CHRISTIAN,115,Christian County,975,Gateway Academy to Innovation & Tech.,115975,A2,0,
20212022,25,CLARK,121,Clark County,2,Willis H. Justice Elementary School,121002,A1,393,19297
20212022,25,CLARK,121,Clark County,4,Strode Station Elementary School,121004,A1,472,18460
20212022,25,CLARK,121,Clark County,6,Shearer Elementary School,121006,A1,372,19240
20212022,25,CLARK,121,Clark County,8,William G. Conkwright Elementary,121008,A1,440,18452
20212022,25,CLARK,121,Clark County,13,Phoenix Academy,121013,A6,111,
20212022,25,CLARK,121,Clark County,17,Clark County Preschool,121017,A4,0,
20212022,25,CLARK,121,Clark County,23,Robert D. Campbell Jr. High,121023,A1,824,16675
20212022,25,CLARK,121,Clark County,26,Rev. Henry E. Baker Sr. Interm. School,121026,A1,738,16230
20212022,25,CLARK,121,Clark County,30,George Rogers Clark High School,121030,A1,1549,15993
20212022,26,CLAY,125,Clay County,40,Big Creek Elementary,125040,A1,131,20364
20212022,26,CLAY,125,Clay County,41,Horse Creek Learning Center,125041,A5,97,
20212022,26,CLAY,125,Clay County,70,Burning Springs Elementary,125070,A1,263,14975
20212022,26,CLAY,125,Clay County,95,Clay County Middle School,125095,A1,408,15784
20212022,26,CLAY,125,Clay County,100,Clay County High School,125100,A1,691,18372
20212022,26,CLAY,125,Clay County,200,Goose Rock Elementary,125200,A1,187,17801
20212022,26,CLAY,125,Clay County,220,Hacker Elementary School,125220,A1,243,14892
20212022,26,CLAY,125,Clay County,500,Manchester Elementary School,125500,A1,344,25705
20212022,26,CLAY,125,Clay County,570,Oneida Elementary School,125570,A1,88,18498
20212022,26,CLAY,125,Clay County,580,Paces Creek Elementary,125580,A1,284,13868
20212022,27,CLINTON,131,Clinton County,15,Albany Elementary School,131015,A1,438,15673
20212022,27,CLINTON,131,Clinton County,16,Foothills Academy,131016,A6,20,
20212022,27,CLINTON,131,Clinton County,20,Clinton County Early Childhood Center,131020,A1,137,22009
20212022,27,CLINTON,131,Clinton County,45,Clinton County Middle School,131045,A1,450,14648
20212022,27,CLINTON,131,Clinton County,50,Clinton County High School,131050,A1,395,17631
