Dist No,District name,1989-90,% CHG,,1990-91,% CHG,,1991-92,% CHG,,1992-93,% CHG,,1993-94,% CHG,,1994-95,% CHG,,1995-96,% CHG,,1996-97,% CHG,,1997-98,% CHG,,1998-99,% CHG,,1999-00,% CHG,,2000-01,% CHG,,2001-02,% CHG,,2002-03,% CHG,,2003-04,% CHG,,2004-05,% CHG,,2005-06,% CHG,,2006-07,% CHG,,2007-08,% CHG,,2008-09,% CHG,,2009-10,% CHG,,2010-11,% CHG,,2011-12,% CHG,,2012-13,% CHG,,2013-14,% CHG,,2014-15,% CHG,,2015-16,% CHG,,2016-17,% CHG,,2017-18,% CHG,,2018-19,% CHG,,2019-20,% CHG,,2020-21,% CHG,,2021-22,% CHG,,2022-23,% CHG,,2023-24,,,,,,,
472,OWENSBORO,28359.00,7.45,+,30472.00,4.34,+,31795.00,1.73,-,31254.00,1.16,+,31618.00,2.38,+,32372.00,1.12,-,32012.00,5.69,+,33834.00,0.20,-,33768.00,0.68,+,33999.00,1.38,+,34467.00,3.16,+,35557.53,3.52,+,36808.95,9.70,+,40380.89,0.61,+,40629.19,3.65,+,42111.79,2.59,+,43201.64,1.71,+,43941.73,11.84,+,47928.21,1.27,+,48535.91,0.68,+,48865.09,1.47,-,48148.81,0.33,-,47992.10,1.12,+,48531.46,0.11,+,48582.48,2.38,+,49739.00,1.62,+,50546.78,1.93,+,51520.00,1.24,+,52158.93,2.36,+,52957.32,1.34,+,53668.25,1.77,+,54618.02,0.27,+,54764.18,2.80,+,56295.87,2.79,+,57866.90,,,,,,,
475,OWSLEY CO,25949.00,15.40,+,29946.00,4.95,+,31427.00,0.83,-,31168.00,1.10,+,31512.00,8.76,+,34272.00,1.87,-,33643.00,2.27,+,34407.00,0.28,-,34311.00,2.32,+,35106.00,0.82,-,34820.00,1.46,+,35330.10,3.22,+,36466.10,5.14,+,38341.15,4.89,+,40215.90,3.45,+,41603.77,2.51,-,40557.72,4.57,+,42410.93,3.76,+,45594.05,2.37,+,46674.24,0.98,+,47130.01,0.54,-,46876.85,0.57,+,47143.49,1.88,+,48031.66,2.05,+,49014.36,1.20,+,49601.76,4.38,+,51774.56,0.97,-,51272.26,2.59,-,49945.06,6.07,+,49966.24,0.38,-,49775.81,1.77,+,50656.43,5.73,+,53559.55,1.96,+,54608.50,2.55,+,53218.05,,,,,,,
476,PADUCAH,27992.00,9.83,+,30744.00,3.99,+,31970.00,1.20,+,32354.00,1.46,+,32825.00,1.39,-,32374.00,7.43,+,34779.00,1.29,+,35227.00,3.53,+,36469.00,2.51,+,37386.00,0.86,+,37708.00,4.78,+,39508.79,2.40,+,40458.50,2.07,+,41295.32,2.00,+,42123.25,2.75,+,43281.39,3.00,+,44578.96,1.60,+,45293.01,14.78,+,48680.05,1.28,+,49303.29,1.36,+,49971.94,0.16,+,50052.82,0.14,+,50124.96,0.36,+,50307.46,1.60,+,51111.22,2.64,+,52460.70,0.45,+,52694.69,0.82,+,53127.32,0.68,+,53487.90,15.05,-,53387.90,0.53,+,53671.00,0.08,-,53625.41,3.27,+,55377.99,3.18,-,57139.64,3.48,-,59127.00,,,,,,,
477,PAINTSVILLE,26368.00,10.52,+,29143.00,4.41,+,30427.00,1.93,+,31015.00,1.80,+,31572.00,1.62,+,32082.00,1.66,-,31557.00,2.87,+,32463.00,0.07,-,32439.00,5.80,+,34320.00,3.40,+,35488.00,2.48,+,36367.12,4.37,+,37956.60,1.85,+,38659.81,0.31,+,38779.10,0.09,-,38746.05,5.58,+,40907.40,4.55,+,42766.88,5.36,+,47722.42,0.43,+,47928.49,2.21,+,48989.81,3.09,-,47476.65,0.63,+,47777.63,1.94,+,48706.01,0.32,+,48863.57,3.51,+,50577.07,2.62,+,51902.44,0.49,-,51648.65,2.06,+,52713.58,8.41,+,52974.39,0.41,+,53192.42,4.23,+,55444.15,0.21,+,55561.85,1.76,-,54586.39,1.28,-,55286.13,,,,,,,
478,PARIS,24559.00,13.91,+,27975.00,4.46,+,29223.00,1.42,+,29637.00,4.67,+,31021.00,3.40,+,32075.00,3.25,+,33119.00,2.74,+,34027.00,1.17,-,33634.00,3.34,+,34758.00,1.34,-,34298.00,1.34,+,34756.59,1.25,+,35192.35,2.90,-,34172.63,0.00,-,34172.63,6.65,+,36445.56,2.97,+,37528.70,3.84,+,38968.32,0.02,+,42777.30,1.37,+,43361.85,2.27,+,44345.43,2.40,-,43281.22,1.25,-,42740.88,1.20,-,42228.78,0.25,-,42122.04,0.26,-,42010.92,4.36,+,43840.63,1.83,+,44642.58,1.63,+,45369.65,9.51,+,45435.77,1.30,-,44844.43,1.71,+,45612.01,0.81,+,45981.53,6.17,+,48816.52,5.30,+,51404.93,,,,,,,
481,PENDLETON CO,23978.00,13.53,+,27223.00,5.93,+,28838.00,4.08,+,30016.00,2.36,+,30724.00,5.01,+,32263.00,0.14,+,32307.00,4.67,+,33817.00,0.15,-,33766.00,1.03,+,34113.00,1.26,+,34543.00,1.83,+,35175.87,0.48,+,35346.36,3.83,+,36700.45,4.17,+,38231.57,3.56,+,39592.52,2.56,+,40606.55,1.15,+,41073.84,15.07,+,44840.41,2.93,+,46153.01,1.10,+,46662.95,1.74,-,45851.27,3.58,+,47491.31,0.18,+,47575.26,2.65,+,48837.63,2.39,-,47670.16,1.81,+,48534.81,1.13,+,49085.25,0.88,+,49517.34,5.23,-,48281.98,1.51,-,47551.96,1.10,+,48074.42,2.67,-,46789.39,13.51,+,53112.16,1.23,-,53767.03,,,,,,,
485,PERRY CO,23479.00,14.23,+,26819.00,12.17,+,30084.00,1.98,+,30680.00,0.26,+,30761.00,1.02,+,31075.00,2.94,+,31989.00,3.84,+,33216.00,0.28,+,33308.00,4.19,+,34703.00,3.56,+,35937.00,2.25,+,36744.14,2.56,+,37685.42,3.26,+,38914.68,5.40,+,41016.74,3.07,+,42276.36,2.91,+,43506.01,2.92,+,44776.92,19.50,+,49082.58,0.76,+,49456.27,1.78,+,50337.32,0.04,+,50358.86,0.87,-,49920.71,0.77,+,50305.25,0.78,-,49912.85,1.08,+,50454.27,1.20,+,51059.80,2.46,-,49805.14,0.35,+,49981.70,14.76,-,49686.31,0.14,-,49615.81,1.46,+,50338.96,3.85,+,52274.55,2.05,+,53346.40,2.58,+,54720.64,,,,,,,
491,PIKE CO,24536.00,19.38,+,29292.00,9.16,+,31976.00,3.50,+,33096.00,0.25,-,33012.00,0.80,+,33275.00,3.65,+,34491.00,3.73,+,35779.00,2.53,+,36685.00,0.20,-,36612.00,2.26,+,37438.00,1.98,+,38178.15,2.45,+,39113.51,3.22,+,40374.28,1.65,+,41039.30,3.53,+,42487.51,2.87,+,43708.81,2.45,+,44778.06,10.01,+,49260.52,1.90,+,50198.40,1.92,+,51160.26,0.57,-,50867.91,0.41,+,51077.78,0.27,+,51216.92,0.41,-,51005.72,0.97,+,51498.42,2.68,+,52878.27,0.70,-,52509.44,0.42,+,52731.32,17.68,-,52106.24,0.25,-,51974.00,0.49,+,52229.63,0.53,-,51952.06,2.86,-,53438.40,0.64,-,53094.26,,,,,,,
492,PIKEVILLE,27617.00,10.81,+,30602.00,8.43,+,33181.00,5.10,+,34872.00,4.41,+,36410.00,3.41,+,37650.00,1.21,+,38107.00,2.97,+,39239.00,0.96,-,38867.00,1.88,+,39599.00,2.15,+,40450.00,3.00,+,41665.47,3.37,+,43068.32,2.35,+,44082.17,5.38,+,46454.02,3.54,+,48098.74,3.21,+,49644.60,2.85,+,51057.17,23.40,+,55254.76,1.14,-,54623.24,1.19,+,55275.76,1.81,-,54277.33,2.22,+,55484.88,0.22,+,55609.71,0.10,-,55552.56,1.52,+,56397.03,3.08,+,58131.44,0.46,+,58400.37,0.38,-,58179.28,18.68,-,57361.39,2.08,+,58555.12,0.59,+,58903.47,1.25,+,59638.68,4.23,-,62158.78,0.49,-,62462.11,,,,,,,
493,PINEVILLE,25090.00,14.69,+,28776.00,5.20,+,30273.00,3.67,+,31385.00,3.14,-,30429.00,3.81,+,31588.00,3.00,-,30668.00,5.49,+,32352.00,0.73,-,32117.00,7.73,+,34599.00,2.33,+,35406.00,2.85,+,36414.71,4.52,+,38060.97,6.04,+,40360.43,3.25,+,41673.45,2.96,+,42907.62,4.23,-,41091.54,0.70,-,40803.54,11.78,+,45043.75,0.38,+,45213.56,0.11,+,45265.54,2.36,+,46335.98,1.05,+,46821.17,0.88,+,47234.73,0.00,+,47235.25,3.79,+,49026.95,8.97,-,44629.30,1.60,+,45345.22,5.64,-,42788.01,15.94,+,43407.25,3.95,+,45120.22,5.74,+,47711.89,5.38,+,50278.99,2.56,-,51565.70,0.26,-,51698.83,,,,,,,
495,POWELL CO,24537.00,7.19,+,26300.00,10.64,+,29098.00,1.18,+,29442.00,0.77,+,29669.00,2.48,+,30404.00,2.50,+,31165.00,2.25,+,31866.00,1.92,+,32478.00,0.72,+,32711.00,2.78,+,33621.00,3.43,+,34774.50,2.95,+,35801.51,3.54,+,37068.69,2.31,+,37923.97,3.15,+,39119.40,3.49,+,40483.51,0.99,+,40886.23,9.80,+,44801.42,3.05,+,46167.16,0.94,+,46602.31,0.79,-,46232.85,0.22,-,46133.30,0.28,+,46262.45,0.10,-,46215.12,0.64,-,45918.75,3.99,+,47751.20,0.44,+,47959.39,2.01,-,46994.42,9.00,+,47312.48,0.30,-,47169.86,1.35,+,47805.69,2.16,-,46770.87,3.52,+,48415.72,5.06,+,50867.73,,,,,,,
496,PROVIDENCE,24687.00,7.03,+,26423.00,4.56,+,27629.00,2.48,+,28314.00,3.27,+,29240.00,0.86,+,29492.00,0.51,+,29642.00,3.71,+,30741.00,2.07,-,30119.00,9.68,+,33033.00,1.80,+,33627.00,0.95,-,33306.61,5.85,+,35256.50,0.24,-,35170.66,2.03,-,34456.89,6.10,+,36560.45,0.94,+,36902.40,1.15,+,37324.94,,,Merged with Mercer County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,
501,PULASKI CO,24447.00,10.45,+,27001.00,8.47,+,29287.00,0.83,-,29046.00,3.79,+,30146.00,2.68,+,30955.00,0.39,+,31076.00,3.67,+,32217.00,1.58,+,32725.00,0.22,+,32797.00,3.77,+,34034.00,3.13,+,35098.38,2.26,+,35890.91,3.76,+,37239.96,4.14,+,38782.97,1.90,+,39519.63,3.97,+,41088.61,0.91,+,41461.50,9.50,+,44769.67,1.93,+,45633.66,2.35,+,46707.55,0.74,-,46363.79,0.88,+,46769.79,0.84,+,47163.89,0.05,-,47140.86,1.13,+,47674.81,2.31,+,48777.98,1.00,+,49264.47,0.50,+,49510.82,3.02,+,49606.99,0.19,+,49703.37,0.30,+,49853.67,0.18,-,49763.26,0.63,+,50077.24,2.35,+,51254.41,,,,,,,
502,RACELAND,27634.00,8.55,+,29996.00,6.72,+,32013.00,1.68,-,31484.00,0.18,+,31542.00,0.28,-,31454.00,3.07,+,32419.00,2.06,+,33087.00,1.63,+,33625.00,2.73,+,34543.00,1.38,+,35020.00,3.58,+,36275.10,3.02,+,37370.54,3.03,+,38504.73,3.37,+,39801.47,4.00,+,41393.38,5.33,+,43598.12,1.15,+,44099.48,31.22,+,48977.29,2.39,+,50149.68,2.22,+,51263.83,3.83,-,49302.65,2.33,+,50452.99,0.17,+,50536.49,0.20,+,50639.66,1.24,-,50012.35,1.24,+,50634.58,0.40,+,50838.79,0.84,+,51266.24,1.94,-,51222.33,1.15,-,50633.78,0.10,+,50682.56,3.88,+,52647.76,4.17,-,54841.66,1.44,-,54051.63,,,,,,,
505,ROBERTSON CO,26316.00,8.78,+,28626.00,1.36,-,28241.00,0.42,+,28361.00,2.24,+,28997.00,6.44,+,30864.00,1.93,+,31460.00,1.45,+,31916.00,4.22,-,30623.00,1.13,+,30969.00,3.61,+,32087.00,2.63,+,32932.15,1.41,+,33396.35,4.26,+,34817.52,1.19,+,35233.28,2.85,+,36236.41,2.99,+,37318.45,4.74,+,39088.13,3.96,+,43105.32,3.40,+,44569.35,2.27,+,45580.59,1.38,-,44950.89,1.15,+,45468.37,0.15,-,45402.09,4.58,+,47481.07,3.08,-,46016.73,2.44,+,47140.46,3.31,+,48702.50,3.48,-,47006.90,5.34,-,46314.52,0.17,+,46391.69,0.30,-,46254.63,0.94,+,46688.38,6.18,+,49575.54,3.10,+,48040.52,,,,,,,
511,ROCKCASTLE CO,24161.00,10.91,+,26797.00,10.14,+,29514.00,1.68,+,30009.00,2.18,+,30662.00,1.97,+,31265.00,1.53,+,31742.00,3.67,+,32908.00,1.71,+,33472.00,2.37,+,34265.00,1.24,+,34691.00,2.52,+,35564.76,5.45,+,37504.16,5.29,+,39486.72,2.81,+,40597.75,5.32,+,42758.27,2.41,+,43789.00,2.16,+,44733.97,10.55,+,48750.11,1.89,+,49673.12,1.72,+,50529.42,2.02,-,49508.37,0.11,-,49451.58,0.57,-,49169.83,0.36,-,48991.57,1.35,+,49651.71,1.83,+,50560.85,1.30,-,49905.80,1.89,+,50851.34,8.95,+,51005.87,0.11,+,51062.12,2.51,+,52344.92,2.57,+,53688.11,0.52,+,53964.94,2.84,+,52430.50,,,,,,,
515,ROWAN CO,25333.00,9.68,+,27784.00,5.72,+,29373.00,0.40,+,29490.00,1.23,+,29852.00,1.64,+,30341.00,1.38,+,30761.00,2.54,+,31543.00,5.16,+,33172.00,2.67,+,34059.00,3.77,+,35343.00,3.10,+,36439.06,4.75,+,38170.45,0.46,+,38345.57,3.21,+,39574.99,3.22,+,40851.10,1.80,+,41585.84,2.70,+,42709.93,20.40,+,47061.40,0.08,+,47100.33,0.15,+,47171.37,1.15,-,46630.29,2.07,+,47596.74,1.63,+,48370.98,0.07,+,48404.87,1.35,+,49059.92,1.27,+,49684.66,0.11,+,49737.91,1.19,+,50330.28,10.79,-,50271.76,1.21,+,50882.11,0.01,+,50889.20,1.09,+,51443.35,0.08,-,51402.92,0.17,-,51315.55,,,,,,,
521,RUSSELL CO,24788.00,10.42,+,27371.00,10.39,+,30214.00,1.04,-,29903.00,2.23,+,30571.00,2.07,+,31203.00,3.86,+,32408.00,1.01,+,32734.00,1.31,+,33164.00,1.79,+,33758.00,0.24,-,33676.00,2.05,+,34366.74,0.95,+,34694.34,3.06,+,35754.79,4.15,+,37240.14,5.04,+,39118.82,3.53,+,40500.88,3.22,+,41804.03,2.11,+,45679.38,2.79,+,46953.68,3.07,+,48395.76,0.43,-,48189.05,0.12,-,48131.79,0.73,-,47781.84,0.62,+,48076.75,0.17,+,48158.01,0.74,+,48512.10,2.87,+,49903.03,1.36,-,49224.66,7.07,+,49516.37,0.51,-,49262.51,2.17,+,50332.38,0.04,+,50350.46,4.63,+,52680.18,0.42,+,52456.90,,,,,,,
522,RUSSELL,29310.00,10.15,+,32284.00,6.96,+,34530.00,2.64,+,35440.00,1.11,-,35052.00,1.69,+,35644.00,3.02,+,36719.00,1.73,+,37355.00,1.95,+,38085.00,0.57,+,38303.00,2.90,+,39413.00,1.62,+,40052.20,1.92,+,40820.88,0.06,+,40844.05,2.93,+,42040.40,3.52,+,43519.55,2.98,+,44815.02,3.61,+,46433.85,17.22,+,50063.12,0.67,+,50398.98,1.17,+,50987.82,0.85,-,50554.58,0.69,+,50901.49,2.19,+,52015.59,2.28,+,53201.53,0.66,+,53551.97,2.88,+,55096.90,0.65,-,54736.48,0.43,-,54503.50,5.06,+,55403.09,0.13,-,55333.51,2.41,+,56665.94,1.05,-,56073.66,1.79,-,57079.35,1.95,-,58191.05,,,,,,,
523,RUSSELLVILLE,25152.00,13.49,+,28545.00,4.42,+,29807.00,1.00,+,30106.00,0.22,+,30172.00,4.07,+,31399.00,0.27,-,31314.00,4.68,+,32779.00,1.63,+,33312.00,0.40,-,33179.00,6.99,+,35497.00,4.04,+,36932.52,2.34,+,37796.84,1.24,+,38266.90,5.76,+,40470.80,1.66,+,41140.90,1.20,-,40645.24,0.29,-,40525.45,10.44,+,46168.29,2.55,-,44990.66,0.52,+,45225.88,1.07,-,44743.54,0.12,+,44798.82,3.03,-,43439.44,0.64,+,43716.45,2.42,-,42657.63,3.13,+,43993.23,1.22,-,43455.10,1.99,+,44319.24,17.72,+,44898.04,1.16,+,45419.26,4.40,-,43418.58,1.59,+,44109.03,1.59,+,44812.07,1.38,+,45429.69,,,,,,,
524,SCIENCE HILL,21718.00,17.54,+,25527.00,8.12,+,27600.00,1.31,-,27243.00,0.64,+,27418.00,5.71,+,28983.00,5.23,+,30498.00,0.42,+,30627.00,6.51,+,32620.00,3.27,+,33686.00,7.93,+,36356.00,1.11,+,36758.57,2.65,+,37732.38,3.73,+,39140.80,4.43,+,40874.18,5.47,+,43111.58,3.15,+,44468.56,1.37,+,45075.86,7.83,+,50067.80,1.82,+,50981.14,1.45,+,51718.50,6.18,-,48521.33,0.91,+,48964.91,3.19,+,50524.71,0.90,-,50068.50,1.20,-,49469.90,8.12,+,53487.91,1.70,-,52578.83,1.75,+,53501.22,14.64,-,52704.50,0.92,+,53189.12,2.35,-,51938.98,0.32,+,52106.90,0.40,+,51897.68,5.14,+,54563.54,,,,,,,
525,SCOTT CO,25330.00,11.49,+,28241.00,5.61,+,29825.00,0.85,+,30079.00,4.15,+,31327.00,2.82,+,32210.00,1.49,+,32689.00,1.75,+,33260.00,2.31,+,34028.00,2.51,+,34883.00,2.97,+,35920.00,3.60,+,37214.32,2.62,+,38189.62,4.10,+,39755.86,2.82,+,40875.68,4.14,+,42568.32,2.97,+,43832.10,2.11,+,44756.89,19.04,+,48242.08,1.25,+,48846.36,2.61,+,50119.51,1.86,-,49187.01,1.04,+,49696.35,0.80,-,49298.46,1.02,+,49802.28,0.85,+,50227.96,1.29,+,50876.58,0.11,-,50821.77,1.14,+,51400.54,2.72,+,51748.01,0.62,-,51429.57,4.44,+,53712.65,0.60,-,53391.10,0.70,+,53764.37,2.04,+,54860.95,,,,,,,
531,SHELBY CO,25165.00,10.91,+,27910.00,8.18,+,30193.00,2.67,+,31000.00,2.45,+,31760.00,2.81,+,32653.00,2.71,+,33539.00,3.50,+,34713.00,0.73,+,34967.00,1.90,+,35633.00,3.79,+,36982.00,4.19,+,38530.58,5.02,+,40464.57,0.80,+,40788.85,3.50,+,42214.49,3.15,+,43542.75,1.45,+,44175.97,1.75,+,44946.95,7.30,+,48368.54,2.57,+,49611.97,2.05,-,48593.67,1.23,-,47996.94,1.54,+,48736.64,0.64,-,48425.80,2.92,+,49840.62,0.79,+,50232.91,2.88,+,51677.72,0.21,-,51567.95,1.11,-,50995.29,1.19,+,52174.66,1.62,-,51327.72,0.67,+,51672.43,1.33,-,50984.42,4.40,-,53229.47,3.19,-,54929.79,,,,,,,
533,SILVER GROVE,24035.00,3.47,+,24868.00,4.28,+,25932.00,3.86,+,26932.00,3.33,+,27830.00,2.16,+,28431.00,1.13,+,28753.00,3.67,+,29809.00,2.02,-,29218.00,1.77,+,29736.00,4.07,+,30945.00,1.69,-,30421.20,4.61,+,31824.96,8.04,+,34382.56,3.46,+,35572.18,5.37,+,37481.49,6.88,+,40059.84,2.13,+,40913.50,4.08,+,42931.55,0.93,+,43329.63,1.39,+,43933.47,1.41,+,44551.95,0.81,+,44914.88,1.16,+,45437.36,0.86,+,45829.60,5.67,+,48429.22,1.59,-,47660.56,0.95,-,47207.77,1.38,-,46556.25,10.24,-,45670.47,Merged with Campbell County,,,,,,,,, ,,, ,,,,,,,,,
535,SIMPSON CO,25487.00,9.70,+,27959.00,8.22,+,30257.00,1.13,+,30599.00,1.59,+,31085.00,1.51,-,30624.00,3.62,+,31733.00,2.27,+,32452.00,2.18,+,33161.00,2.36,+,33942.00,1.38,+,34412.00,2.61,+,35308.73,2.32,+,36129.08,2.80,+,37141.16,2.08,+,37913.64,2.82,+,38981.11,3.57,+,40372.72,0.36,-,40227.98,2.06,+,44020.31,0.05,+,44040.62,2.82,+,45284.52,0.61,-,45009.96,2.01,+,45916.33,0.64,+,46210.94,1.31,+,46817.65,1.90,+,47707.71,1.45,+,48397.78,0.16,-,48321.14,1.46,+,49026.32,9.93,+,50003.66,1.56,+,50782.08,1.44,+,51515.73,2.91,+,53015.80,3.18,-,54703.81,4.05,-,56919.47,,,,,,,
536,SOMERSET,25541.00,12.24,+,28668.00,6.05,+,30401.00,0.40,+,30522.00,2.11,+,31167.00,4.48,+,32562.00,1.44,+,33031.00,4.88,+,34643.00,1.92,+,35307.00,3.71,+,36617.00,1.73,-,35994.00,3.12,+,37118.08,1.85,+,37804.48,2.90,+,38902.57,3.16,+,40130.05,6.71,+,42822.88,2.41,+,43853.54,2.31,+,44866.14,19.33,+,48820.89,2.28,+,49935.91,2.05,+,50957.50,2.67,-,49599.13,0.29,-,49454.44,0.62,-,49149.86,1.48,+,49877.64,0.32,-,49715.56,0.50,-,49465.96,1.60,+,50257.04,2.54,+,51535.84,2.41,+,51603.59,2.34,+,52812.42,2.32,+,54036.53,0.72,+,54426.98,3.00,-,56061.41,0.60,-,55727.53,,,,,,,
537,SOUTHGATE,25036.00,2.48,+,25656.00,8.68,+,27882.00,4.33,+,29089.00,5.09,+,30571.00,6.32,-,28754.00,2.64,+,29513.00,1.01,-,29217.00,0.19,-,29162.00,4.93,+,30599.00,1.11,-,30264.00,1.41,-,29838.63,4.18,+,31085.66,0.74,+,31315.31,7.40,+,33632.71,2.06,+,34325.38,5.07,+,36064.42,8.70,+,39202.30,4.46,+,42022.04,3.09,+,43320.63,3.33,-,41879.70,0.61,+,42134.86,4.77,+,44143.99,5.01,+,46355.90,1.08,+,46858.03,3.37,-,45278.34,0.41,+,45465.10,7.31,+,48787.80,1.15,+,49346.92,5.06,+,51324.41,4.43,-,49052.72,0.70,+,49394.25,4.89,-,46980.52,2.27,+,48048.84,1.21,+,48630.59,,,,,,,
541,SPENCER CO,24997.00,11.35,+,27834.00,8.42,+,30177.00,1.58,+,30655.00,4.81,+,32129.00,0.70,+,32355.00,3.06,+,33345.00,3.46,+,34499.00,1.09,+,34874.00,3.56,+,36114.00,0.41,+,36262.00,3.69,+,37599.24,0.76,+,37885.03,3.70,+,39288.47,4.24,+,40953.49,0.75,+,41258.86,0.41,-,41089.87,1.59,+,41743.59,0.30,+,45001.08,4.27,+,46924.17,3.58,+,48601.82,0.90,+,49038.04,0.25,+,49158.82,0.69,-,48819.99,0.45,+,49041.03,1.97,+,50008.88,2.94,+,51478.77,1.34,+,52166.87,1.72,+,53063.58,2.95,+,53894.60,1.25,+,54569.25,1.22,+,55232.94,0.44,-,54992.33,3.71,-,57030.31,2.50,-,58456.96,,,,,,,
545,TAYLOR CO,25388.00,9.09,+,27695.00,3.47,+,28655.00,1.83,-,28140.00,3.84,+,29221.00,1.89,+,29774.00,0.94,+,30053.00,3.37,+,31067.00,2.68,+,31900.00,2.58,+,32724.00,3.48,+,33862.00,4.46,+,35371.07,3.88,+,36742.99,1.99,+,37475.98,4.47,+,39152.43,4.43,+,40885.87,4.85,+,42868.88,2.83,+,44083.07,21.76,+,47731.60,1.52,+,48456.21,2.55,+,49690.40,2.08,-,48654.77,0.72,+,49007.20,0.16,-,48929.16,0.60,+,49223.70,1.15,+,49787.40,2.30,+,50932.71,0.94,+,51411.77,1.71,-,50532.06,1.36,-,50295.59,0.52,+,50557.35,3.02,+,52084.57,1.21,-,51455.69,0.51,-,51191.57,2.35,+,52396.70,,,,,,,
551,TODD CO,24912.00,8.95,+,27142.00,3.82,+,28180.00,1.18,-,27852.00,1.77,+,28346.00,4.27,+,29556.00,2.12,+,30183.00,1.00,+,30485.00,0.97,+,30780.00,4.70,+,32226.00,2.88,+,33154.00,3.91,+,34451.78,3.66,+,35713.54,2.51,+,36610.90,4.17,+,38136.96,2.48,+,39083.72,4.28,+,40755.04,0.72,+,41048.81,6.51,+,44460.18,2.09,+,45391.24,0.27,+,45515.62,0.59,+,45784.88,0.69,-,45471.06,0.10,+,45516.98,0.18,+,45601.05,1.09,+,46097.60,2.23,+,47126.11,1.64,-,46352.69,1.22,+,46917.80,1.29,-,46851.85,0.17,+,46931.47,0.68,-,46610.71,2.45,+,47753.25,2.09,+,48752.79,0.20,+,48849.99,,,,,,,
555,TRIGG CO,26651.00,9.55,+,29197.00,4.92,+,30634.00,1.37,-,30221.00,3.10,+,31157.00,4.66,-,29771.00,8.41,+,32274.00,2.87,+,33199.00,1.19,+,33595.00,2.75,+,34518.00,0.40,+,34657.00,4.06,+,36065.55,0.30,+,36173.82,3.05,+,37277.43,2.88,+,38351.30,0.06,+,38373.47,3.74,+,39808.05,3.84,+,41335.93,1.14,+,44584.95,2.65,+,45767.66,1.23,+,46328.81,0.93,-,45896.35,0.69,+,46214.84,1.24,+,46789.64,1.57,+,47524.28,1.95,+,48450.70,2.12,+,49478.51,0.63,+,49789.28,2.13,+,50851.02,1.59,+,51498.91,3.03,+,53061.09,0.89,+,53535.56,1.64,-,52656.13,1.30,+,53340.99,0.76,+,52936.61,,,,,,,
561,TRIMBLE CO,24011.00,10.97,+,26645.00,6.46,+,28367.00,5.90,+,30040.00,2.26,+,30718.00,3.57,+,31816.00,3.52,+,32937.00,0.93,+,33243.00,0.92,+,33548.00,4.13,+,34932.00,4.09,+,36362.00,3.39,+,37594.72,1.40,+,38119.50,4.11,+,39687.45,1.36,+,40228.06,3.24,+,41530.09,3.91,+,43152.20,1.16,+,43651.76,13.44,+,46564.69,0.26,+,46687.72,2.54,+,47872.96,3.12,-,46379.46,1.31,+,46988.29,1.01,+,47462.96,0.44,+,47669.67,3.17,+,49179.88,1.35,+,49841.85,2.98,+,51327.79,0.48,-,51083.14,2.33,+,51219.59,1.55,-,50426.16,0.95,-,49945.69,0.83,+,50359.16,2.94,+,51842.23,2.94,+,50318.07,,,,,,,
565,UNION CO,26622.00,11.36,+,29646.00,4.19,+,30887.00,2.48,+,31653.00,0.63,+,31851.00,3.38,+,32928.00,0.53,-,32755.00,3.34,+,33850.00,1.58,-,33322.00,3.65,+,34537.00,1.49,+,35051.00,5.45,+,36961.43,2.79,+,37991.31,1.65,+,38619.27,3.34,+,39908.58,2.09,+,40741.68,0.51,+,40950.24,1.74,+,41663.16,8.45,+,44828.78,0.44,-,44633.14,4.26,-,42732.19,3.98,-,41031.07,0.56,+,41262.18,2.44,+,42268.05,1.03,+,42703.39,2.20,+,43643.39,4.61,+,45654.77,0.23,+,45760.52,1.41,+,46405.55,11.90,-,46310.34,1.90,+,47191.57,2.93,+,48574.68,2.59,+,49833.11,0.78,-,50222.78,2.12,-,51288.98,,,,,,,
567,WALTON VERONA,26881.00,10.47,+,29694.00,4.85,+,31133.00,2.38,+,31873.00,3.30,+,32924.00,4.13,+,34283.00,3.35,+,35430.00,1.06,-,35058.00,0.95,+,35390.00,3.80,+,36734.00,3.09,+,37870.00,2.86,+,38952.27,3.79,+,40428.20,5.74,+,42750.18,1.59,+,43428.21,0.94,+,43834.78,4.30,+,45721.85,1.47,+,46395.69,13.19,+,49411.45,0.33,-,49247.34,1.84,+,50151.23,3.69,-,48302.04,0.46,+,48521.83,0.69,+,48857.74,1.88,+,49774.08,0.23,-,49657.78,1.49,+,50396.60,1.24,+,51021.07,0.34,+,51196.14,3.08,+,51657.89,2.31,+,52850.46,1.70,+,53747.97,4.80,+,56326.78,0.84,-,56797.71,1.79,-,57812.33,,,,,,,
